symbol,timestamp,open,high,low,close,volume,trade_count,vwap
FER,2025-03-28 09:30:00-04:00,45.24,45.26,45.24,45.25,968.0,8.0,45.25
FER,2025-03-28 09:35:00-04:00,45.24,45.24,45.21,45.21,1384.0,10.0,45.21286
FER,2025-03-28 09:40:00-04:00,45.26,45.26,45.22,45.22,1427.0,11.0,45.24917
FER,2025-03-28 09:45:00-04:00,45.19,45.23,45.19,45.23,1823.0,17.0,45.193666
FER,2025-03-28 09:50:00-04:00,45.26,45.28,45.25,45.28,439.0,8.0,45.2675
FER,2025-03-28 09:55:00-04:00,45.27,45.27,45.21,45.21,3637.0,31.0,45.233141
FER,2025-03-28 10:05:00-04:00,45.245,45.31,45.21,45.23,6012.0,77.0,45.248823
FER,2025-03-28 10:10:00-04:00,45.27,45.285,45.2,45.22,6301.0,75.0,45.230062
FER,2025-03-28 10:15:00-04:00,45.22,45.27,45.22,45.25,2044.0,48.0,45.241629
FER,2025-03-28 10:20:00-04:00,45.29,45.35,45.29,45.33,860.0,29.0,45.316
FER,2025-03-28 10:25:00-04:00,45.33,45.34,45.32,45.33,1102.0,26.0,45.329406
FER,2025-03-28 10:30:00-04:00,45.33,45.35,45.29,45.29,7082.0,77.0,45.32324
FER,2025-03-28 10:35:00-04:00,45.26,45.28,45.26,45.26,1976.0,39.0,45.264118
FER,2025-03-28 10:40:00-04:00,45.24,45.28,45.24,45.27,1387.0,36.0,45.271822
FER,2025-03-28 10:45:00-04:00,45.24,45.24,45.23,45.24,976.0,20.0,45.234915
FER,2025-03-28 10:50:00-04:00,45.24,45.24,45.21,45.22,2681.0,42.0,45.217305
FER,2025-03-28 10:55:00-04:00,45.185,45.2,45.185,45.2,1250.0,43.0,45.196438
FER,2025-03-28 11:00:00-04:00,45.24,45.24,45.24,45.24,122.0,5.0,45.24
FER,2025-03-28 11:05:00-04:00,45.23,45.27,45.23,45.26,727.0,26.0,45.25665
FER,2025-03-28 11:10:00-04:00,45.33,45.33,45.28,45.33,1341.0,39.0,45.310312
FER,2025-03-28 11:15:00-04:00,45.37,45.39,45.37,45.39,1011.0,15.0,45.375933
FER,2025-03-28 11:20:00-04:00,45.36,45.39,45.35,45.39,1959.0,20.0,45.368283
FER,2025-03-28 11:25:00-04:00,45.48,45.48,45.48,45.48,302.0,7.0,45.48
FER,2025-03-28 11:30:00-04:00,45.44,45.49,45.44,45.48,1552.0,32.0,45.4756
FER,2025-03-28 11:35:00-04:00,45.49,45.49,45.45,45.45,494.0,7.0,45.46
FER,2025-03-28 11:40:00-04:00,45.47,45.47,45.4,45.4,759.0,25.0,45.4325
FER,2025-03-28 11:45:00-04:00,45.4,45.44,45.38,45.44,1287.0,17.0,45.386786
FER,2025-03-28 11:50:00-04:00,45.4,45.4,45.38,45.38,586.0,11.0,45.39
FER,2025-03-28 11:55:00-04:00,45.38,45.38,45.325,45.33,1208.0,22.0,45.352385
FER,2025-03-28 12:00:00-04:00,45.4,45.4,45.4,45.4,312.0,5.0,45.4
FER,2025-03-28 12:05:00-04:00,45.41,45.41,45.41,45.41,106.0,4.0,45.41
FER,2025-03-28 12:10:00-04:00,45.43,45.43,45.42,45.42,678.0,13.0,45.428
FER,2025-03-28 12:15:00-04:00,45.41,45.41,45.41,45.41,217.0,6.0,45.41
FER,2025-03-28 12:25:00-04:00,45.36,45.36,45.35,45.35,662.0,12.0,45.358438
FER,2025-03-28 12:30:00-04:00,45.38,45.38,45.36,45.36,537.0,10.0,45.366566
FER,2025-03-28 12:35:00-04:00,45.365,45.42,45.365,45.42,452.0,9.0,45.40625
FER,2025-03-28 12:40:00-04:00,45.42,45.42,45.41,45.41,693.0,18.0,45.4175
FER,2025-03-28 12:45:00-04:00,45.39,45.39,45.38,45.38,546.0,12.0,45.384
FER,2025-03-28 12:50:00-04:00,45.42,45.42,45.42,45.42,382.0,7.0,45.42
FER,2025-03-28 12:55:00-04:00,45.38,45.38,45.38,45.38,351.0,8.0,45.38
FER,2025-03-28 13:00:00-04:00,45.36,45.36,45.36,45.36,468.0,10.0,45.36
FER,2025-03-28 13:05:00-04:00,45.34,45.34,45.34,45.34,207.0,3.0,45.34
FER,2025-03-28 13:10:00-04:00,45.33,45.33,45.28,45.3,486.0,9.0,45.2975
